rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
560,ERD,Erdene Resource Development Corporation,398.95M,6.1,-0.16%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,ERD.TO,Basic Materials,Other Industrial Metals & Mining,Erdene Resource Development Corporation,EQUITY,success
561,STCK,Stack Capital Group Inc.,392.89M,26.55,3.51%,56.71M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,STCK.TO,Financial Services,Asset Management,Stack Capital Group Inc.,EQUITY,success
562,HLF,High Liner Foods Incorporated,388.63M,13.86,0.51%,1.41B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,HLF.TO,Consumer Defensive,Packaged Foods,High Liner Foods Incorporated,EQUITY,success
563,GRA,NanoXplore Inc.,382.94M,2.13,0.95%,113.16M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GRA.TO,Basic Materials,Chemicals,NanoXplore Inc.,EQUITY,success
564,GLO,Global Atomic Corporation,382.42M,0.76,-2.56%,1.09M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GLO.TO,Basic Materials,Other Industrial Metals & Mining,Global Atomic Corporation,EQUITY,success
565,DC.A,Dundee Corporation,377.30M,4.22,0.48%,5.36M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,DC-A.TO,Basic Materials,Other Precious Metals & Mining,Dundee Corporation,EQUITY,success
566,AFN,Ag Growth International Inc.,374.19M,19.96,0.60%,1.42B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,AFN.TO,Industrials,Farm & Heavy Construction Machinery,Ag Growth International Inc.,EQUITY,success
567,DGX,Digi Power X Inc.,369.99M,5.42,7.33%,46.88M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,DGX.TO,,,,NONE,success
568,TI,Titan Mining Corporation,359.73M,3.6,-1.64%,101.79M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TI.TO,Basic Materials,Other Industrial Metals & Mining,Titan Mining Corporation,EQUITY,success
569,LUC,Lucara Diamond Corp.,357.25M,0.235,-2.08%,218.92M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,LUC.TO,Basic Materials,Other Precious Metals & Mining,Lucara Diamond Corp.,EQUITY,success
570,GRID,Tantalus Systems Holding Inc.,356.77M,6.29,-0.94%,74.20M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GRID.TO,Industrials,Electrical Equipment & Parts,Tantalus Systems Holding Inc.,EQUITY,success
571,GOLD,GoldMining Inc.,342.40M,1.6,0.31%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GOLD.TO,Basic Materials,Gold,GoldMining Inc.,EQUITY,success
572,CKI,Clarke Inc.,341.72M,26.35,6.90%,81.60M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CKI.TO,Consumer Cyclical,Lodging,Clarke Inc.,EQUITY,success
573,BTB.UN,BTB Real Estate Investment Trust,340.56M,3.91,1.56%,130.14M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,BTB-UN.TO,Real Estate,REIT - Office,BTB Real Estate Investment Trust,EQUITY,success
574,VLN,Velan Inc.,334.58M,15.5,-,411.71M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,VLN.TO,Industrials,Specialty Industrial Machinery,Velan Inc.,EQUITY,success
575,PRN,Profound Medical Corp.,331.40M,9.46,3.73%,22.07M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,PRN.TO,Healthcare,Medical Devices,Profound Medical Corp.,EQUITY,success
576,STGO,Steppe Gold Ltd.,328.68M,1.3,-,348.44M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,STGO.TO,Basic Materials,Gold,Steppe Gold Ltd.,EQUITY,success
577,TWM,Tidewater Midstream and Infrastructure Ltd.,323.27M,14.44,-2.43%,1.32B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TWM.TO,Energy,Oil & Gas Midstream,Tidewater Midstream and Infrastructure Ltd.,EQUITY,success
578,VCM,Vecima Networks Inc.,322.17M,13.25,0.15%,277.53M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,VCM.TO,Technology,Communication Equipment,Vecima Networks Inc.,EQUITY,success
579,ADN,Acadian Timber Corp.,320.76M,17.44,0.35%,86.96M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,ADN.TO,Basic Materials,Lumber & Wood Production,Acadian Timber Corp.,EQUITY,success
580,CMG,Computer Modelling Group Ltd.,316.45M,3.99,0.25%,126.20M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CMG.TO,Technology,Software - Application,Computer Modelling Group Ltd.,EQUITY,success
581,RBY,Rubellite Energy Corp.,316.05M,3.37,-,210.07M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,RBY.TO,Energy,Oil & Gas E&P,Rubellite Energy Corp.,EQUITY,success
582,FRX,Fennec Pharmaceuticals Inc.,311.90M,8.87,-,61.21M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,FRX.TO,Healthcare,Biotechnology,Fennec Pharmaceuticals Inc.,EQUITY,success
583,RIC,Richards Group Inc.,311.49M,29.75,8.18%,435.20M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,RIC.TO,Consumer Cyclical,Packaging & Containers,Richards Group Inc.,EQUITY,success
584,SPAC.U,Mercer Park Opportunities Corp.,311.10M,10.75,-,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,SPAC-U.TO,Financial Services,Shell Companies,,EQUITY,success
585,SAU,St. Augustine Gold and Copper Limited,308.01M,0.185,-5.13%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,SAU.TO,Basic Materials,Other Industrial Metals & Mining,St. Augustine Gold and Copper Limited,EQUITY,success
586,DRX,ADF Group Inc.,307.80M,10.95,1.58%,258.74M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,DRX.TO,Industrials,Metal Fabrication,ADF Group Inc.,EQUITY,success
